year,crop,latitude,longitude,farm_name,producer_id,field_name,texture,field_id,sample_id,depth_in,som_percent,soc_percent,net_mb_tnb,net_mb_npoc,co2_72hr_mg_c_kg_soil_day,plfa_total_biomass_ngpg,plfa_diversity_index,plfa_bacteria_ngpg,plfa_fungi_ngpg,plfa_arb_myc_ngpg,bg_nmol_activity_gdrysoil_hr,cb_nmol_activity_gdrysoil_hr,phos_nmol_activity_gdrysoil_hr,lap_nmol_activity_gdrysoil_hr,nag_nmol_activity_gdrysoil_hr,herbivores_total_perc,fungivores_total_perc,bacterivores_total_perc,ph,cec_me_per_100g,total_n_percent,c_n_ratio,no3_lb_ac,p_ppm,k_ppm,ca_ppm,mg_ppm,s_ppm,b_ppm,fe_ppm,mn_ppm,cu_ppm,zn_ppm,na_ppm,sand_percent,silt_percent,clay_percent,bulk_density_g_cm3,ag_stability_mwd,field_capacity_g_g_h2o,wilting_point_g_g_h2o,total_available_water_g_g_h2o
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,1,0-6 in ,2.7,1.18,0,138.5973374,16.14871775,783.93,0.833,142.45,0,0,208.6611212,65.68331566,277.285915,60.89847609,115.0975891,,,,6.1,24.4,0.12,9.833333333,127.4723426,99.1,225.6,1967,1298.1,16.3,0.88,22.72,50.95,1.97,3.06,37.48,18.1,38.2,43.8,1.23,0.42,0.32,0.15,0.17
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,2,6-12 in ,2.6,1.13,4.8788632,47.57364114,12.95872617,659.88,0.814,156.07,0,0,,,,,,32,37,31,6.5,20.5,0.11,10.27272727,42.88062674,66.3,153,1692,1140.51,12.8,0.97,18.64,36.91,1.76,1.75,40.23,,,,1.33,0.61,0.31,0.16,0.15
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,11,0-6 in ,2.7,1.23,0,203.5418385,12.01736978,1102.67,0.974,232.58,7.6,0,196.7678111,61.95317611,171.7583369,46.05130473,127.9148363,,,,6.3,25.1,0.12,10.25,137.4787041,86,263.5,2049,1410.56,10.4,0.88,21.26,29.9,1.92,1.91,40.17,12.5,36.1,51.4,1.03,0.46,0.32,0.15,0.17
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,clay,14,12,6-12 in ,2.6,1.18,0,0,12.72999627,616.09,0.922,120.78,3.23,0,,,,,,39.8,33.2,27,6.7,23.2,0.12,9.833333333,43.64344936,62.5,213,2065,1456.75,12.4,0.84,16.46,20.77,1.83,1.39,38.91,,,,1.27,0.42,0.3,0.14,0.16
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,silty clay,14,21,0-6 in ,2.9,1.35,0,0,14.18395426,397.52,0.801,91.59,0,0,262.18589,71.02315681,234.4446054,120.7354036,92.61331116,,,,6.4,23.2,0.13,10.38461538,77.88296722,71.1,330,1767,1315.82,11.2,0.85,19,25.09,1.78,1.78,32.75,18.2,40.2,41.7,1.19,0.52,0.34,0.14,0.2
2023,tomatoes,38.51522,-121.8571,Cooley Enterprises,Cooley,Field 26B,silty clay,14,22,6-12 in ,2.8,1.3,0,201.4273134,14.79058028,741.45,0.982,162.64,3.47,0,,,,,,41.2,22.2,36.5,7,22.3,0.11,11.81818182,27.26365527,56.8,286.1,1930,1407.93,9.1,0.84,15.48,16.02,1.7,1.55,36.31,,,,1.29,0.36,0.32,0.11,0.21
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,31,0-6 in ,2.9,1.11,28.490475,253.0248182,12.68030521,597.3,1.368,192.02,29.83,12.01,228.8274589,41.72795576,135.5245175,133.5362825,73.52614903,,,,7.3,25.5,0.11,10.09090909,2.321679968,65.8,350.3,3506,838.47,39.1,0.97,15.05,11.87,1.79,1,25.75,24.3,33.8,41.9,0.91,1.3,0.32,0.14,0.18
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,32,6-12 in ,2.6,1,27.12971734,178.3607029,11.55543702,1274.34,1.383,383.9,111.19,53.45,,,,,,41.4,27.7,31,7.7,25.2,0.09,11.11111111,4.063332194,21.5,180.6,3219,1014.19,23.5,1.1,17.55,10.04,1.97,0.54,52.45,,,,1.29,1.96,0.29,0.13,0.16
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,41,0-6 in ,2.9,1.15,32.96361157,260.5775715,14.67663087,537.65,1.305,218.84,24.49,10.18,251.9311048,64.47215801,182.2332587,106.7316114,118.8912356,,,,7.4,24.3,0.11,10.45454545,4.101171766,71,371.1,3296,813.26,41.4,0.81,14.64,14.08,1.76,1.13,23.83,20.3,35.9,43.8,1.19,1.03,0.3,0.12,0.18
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,42,6-12 in ,2.6,1.04,31.62018909,236.7680245,15.65741857,518.16,1.26,172.3,18,8.71,,,,,,10.2,29.2,60.5,7.7,23,0.1,10.4,7.91319498,36.1,207.9,2936,898.36,17.9,1.25,16.95,11.75,1.81,0.81,58.48,,,,1.09,1.76,0.31,0.14,0.17
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,51,0-6 in ,3.3,1.27,34.34175711,299.0837757,16.65989291,1131.01,1.333,251.17,39.07,7.89,241.3944546,71.47108354,127.4444558,95.45762834,115.7712623,,,,7.3,29,0.12,10.58333333,1.550107791,73.2,379,3690,1129.8,50.4,0.85,13.7,12.84,1.82,1.08,27.97,14.3,36,49.8,1.12,1.13,0.29,0.14,0.15
2023,tomatoes,38.5443,-121.9446,Button and Turkovich,Turkovich,Field 24,clay,21,52,6-12 in ,3,1.1,30.28607263,211.8177338,15.60045335,1046.3,1.123,228.57,15.52,0,,,,,,39.8,33.2,27,7.6,27.3,0.11,10,4.958581353,32.6,206.3,3277,1227.07,26.4,0.88,15.65,9.73,1.88,0.63,35.48,,,,1.19,1.61,0.31,0.15,0.16
2023,tomatoes,38.55503,-121.8707,Bullseye,Beeman,ST5,clay,8,61,0-6 in ,2.6,0.91,0,204.3592031,13.79646373,1364.2,1.047,217.84,10.15,0,205.9943102,46.96641694,57.07435081,142.8675588,81.45537063,,,,7.4,24.6,0.09,10.11111111,7.578548612,202.8,142.3,2981,1087.26,8.7,0.71,17.53,12.34,1.63,2.43,65.61,22.3,36,41.8,1.28,0.51,0.28,0.12,0.16
2023,tomatoes,38.55503,-121.8707,Bullseye,Beeman,ST5,clay,8,62,6-12 in ,2.3,0.8,0,152.1880465,15.05370228,1335.8,1.175,260.05,25.81,0,,,,,,32.5,37,30.5,8.1,27.6,0.08,10,5.952477388,122.7,149.4,3217,1269.25,7.6,0.92,16.61,6.23,1.49,1.67,127.82,,,,1.22,0.78,0.31,0.14,0.17
2023,tomatoes,38.55503,-121.8707,Bullseye,Beeman,ST5,clay,8,71,0-6 in ,2.7,0.96,0,181.109051,10.54489963,1231.15,1.118,194.39,18.03,0,116.0715638,27.03538778,61.76406752,70.83554101,47.89601711,,,,7.3,26.9,0.09,10.66666667,12.24088652,145.6,177.2,2891,1391.32,6,0.86,22.08,13.73,2.02,2.33,101.5,20.3,32,47.7,1.15,0.84,0.27,0.13,0.14
2023,tomatoes,38.55503,-121.8707,Bullseye,Beeman,ST5,clay,8,72,6-12 in ,2.7,0.96,0,213.2039648,13.88244295,1000.23,1.116,183.97,9.27,0,,,,,,12.5,41,46.5,8,27.4,0.09,10.66666667,2.497729917,77.3,161.5,2822,1476.19,4.2,0.99,20.26,9.32,2.1,1.65,125.85,,,,1.52,1.62,0.31,0.14,0.17
2023,tomatoes,38.55503,-121.8707,Bullseye,Beeman,ST5,clay,8,81,0-6 in ,2.9,1.05,0,188.8027541,12.11304793,2361.73,1.386,473.85,201.88,18.37,174.5227533,64.93788134,132.0531796,174.7280482,113.6041823,,,,7.5,28.7,0.09,11.66666667,8.413328899,99.7,211.4,2972,1540.91,4.6,1.01,18.12,13.38,2.13,2.06,106,16.4,36,47.7,1.07,1.27,0.3,0.14,0.16
2023,tomatoes,38.55503,-121.8707,Bullseye,Beeman,ST5,clay,8,82,6-12 in ,2.9,1.04,0,160.0336521,12.73837712,289.4,0.97,63.8,0,0,,,,,,22.1,32.4,45.6,7.9,22,0.09,11.55555556,2.837236597,80.6,125.1,1964,1384,4.4,0.95,19.78,10.93,2.07,1.9,82.07,,,,1.32,1.5,0.31,0.14,0.17
2023,tomatoes,38.79329,-121.7359,Bullseye,Beeman,DB1,clay loam,10,91,0-6 in ,2.4,1.05,0,189.1682833,14.09797048,339.25,0.857,89.47,0,0,178.8893094,60.62439787,318.6792788,94.11397981,67.97036869,,,,6.9,20.8,0.1,10.5,17.07431029,146,156.7,2088,1138.09,8.4,1.21,58.13,13.37,2.89,1.5,115.13,40.3,22,37.7,1.29,0.97,0.24,0.11,0.13
2023,tomatoes,38.79329,-121.7359,Bullseye,Beeman,DB1,clay loam,10,92,6-12 in ,2.3,1,0,174.9863396,11.70681961,305.28,0.982,64.15,0,0,,,,,,54.5,21.5,24,7.6,21.6,0.09,11.11111111,5.930175261,57.5,130.5,2173,1170.23,13,2.07,44.57,7.46,2.71,0.76,148.58,,,,1.34,1.03,0.24,0.11,0.13
2023,tomatoes,38.79329,-121.7359,Bullseye,Beeman,DB1,clay loam,10,101,0-6 in ,2.7,1.2,0,256.6910745,15.9081034,376.95,0.99,70.54,0,0,141.2650796,40.72822906,45.98836999,63.39594767,59.88359272,,,,6.9,20.7,0.11,10.90909091,12.5008024,273,177.5,2394,932.51,13,1.46,36.24,10.38,2.32,1.27,110.48,26.5,34,39.6,1.23,0.52,0.31,0.14,0.17
2023,tomatoes,38.79329,-121.7359,Bullseye,Beeman,DB1,clay loam,10,102,6-12 in ,2.5,1.17,0,165.6712057,11.40404263,288.69,1.016,83.38,0,0,,,,,,57.8,14.3,28,7.8,22.3,0.1,11.7,5.754774092,205.7,135.7,2735,923.08,13.7,2.4,20.7,6.32,2,0.84,139.18,,,,1.45,0.82,0.29,0.18,0.11
2023,tomatoes,38.79329,-121.7359,Bullseye,Beeman,DB1,clay loam,10,111,0-6 in ,2.1,0.85,0,161.9739729,14.41954278,512.51,1.152,102.27,10.63,0,191.0145856,62.67669374,271.8256399,71.99326503,89.99396546,,,,6.8,16.7,0.08,10.625,9.159619456,120,104.4,1723,885.98,11.6,1.55,37.59,11.67,1.85,1.19,97.97,44.5,26,29.6,1.35,0.44,0.21,0.12,0.09
2023,tomatoes,38.79329,-121.7359,Bullseye,Beeman,DB1,clay loam,10,112,6-12 in ,2,0.91,0,194.2051136,10.89880073,387.83,1.103,66.11,2.64,0,,,,,,52.8,14.2,33,7.4,16.9,0.08,11.375,4.738166888,50.2,91.1,1748,883.6,13.1,1.92,30.38,9.18,1.96,0.76,127.92,,,,1.41,0.61,0.21,0.12,0.09
2023,tomatoes,38.46966,-121.8574,E&H farms,Gnos,Schroeder 3,clay,23,121,0-6 in ,3.2,1.33,16.98072543,332.1858941,18.69196912,339.37,1.296,162.28,17.67,8.32,215.0257846,94.3824763,94.134977,63.66037363,143.7703312,,,,6.9,29.6,0.13,10.23076923,121.3531298,71.7,338.9,3022,1622.62,66.5,0.75,19.42,18.44,2.56,1.58,29.58,8.9,35.9,55.2,1.33,0.99,0.32,0.23,0.09
2023,tomatoes,38.46966,-121.8574,E&H farms,Gnos,Schroeder 3,clay,23,122,6-12 in ,3.1,1.36,14.35448746,209.5567177,16.95260334,169.31,0.981,72.13,0,0,,,,,,12,23.5,64.5,7.1,25.8,0.12,11.33333333,53.10688181,53.8,240.3,2538,1481.49,33.3,0.67,18.39,16.85,2.55,1.33,26.93,,,,1.32,1.39,0.32,0.21,0.11
2023,tomatoes,38.46966,-121.8574,E&H farms,Gnos,Schroeder 3,clay,23,131,0-6 in ,3.4,1.37,0,280.5092074,19.20485208,1380.09,1.314,290.2,53.23,15.1,227.242938,76.42633076,245.7731078,98.27148442,73.32207995,,,,6.9,29,0.13,10.53846154,52.73275724,75.9,277.2,2922,1622.62,53.5,0.51,25.63,17.21,2.86,1.29,30.95,8.9,31.9,59.2,1.2,1.26,0.31,0.22,0.09
2023,tomatoes,38.46966,-121.8574,E&H farms,Gnos,Schroeder 3,clay,23,132,6-12 in ,3.2,1.31,16.39326557,231.4209594,22.48331313,489.44,1.101,104.58,4.38,0,,,,,,27.8,22.2,50,7.2,28.4,0.19,6.894736842,31.4540791,65.1,209.5,2758,1664.24,26.1,0.44,28.53,18.37,3.05,1.29,35.38,,,,1.09,1.6,0.31,0.25,0.06
2023,tomatoes,38.46966,-121.8574,E&H farms,Gnos,Schroeder 3,clay,23,141,0-6 in ,3.3,1.32,0,269.819125,18.45214012,596.86,1.098,141.06,6.86,0,267.4699615,87.93220799,212.2293102,75.92069129,88.47483862,,,,7,28.4,0.13,10.15384615,109.2838152,69.8,322.5,2853,1592.5,65.4,0.56,19.58,19.67,2.66,1.39,17.11,9,35.9,55.1,1.34,0.94,0.32,0.23,0.09
2023,tomatoes,38.46966,-121.8574,E&H farms,Gnos,Schroeder 3,clay,23,142,6-12 in ,3,1.28,1.078987029,222.3325845,15.97485829,368.44,1.157,94.59,4.1,0,,,,,,23.4,39.1,37.5,7.1,23.4,0.12,10.66666667,43.19113677,41.9,186,2261,1388,34.2,0.68,19.37,15.43,2.79,1.09,18.3,,,,1.18,1.36,0.31,0.25,0.06
2023,tomatoes,38.46872,-121.8543,E&H farms,Gnos,Schroeder 4,clay,24,151,0-6 in ,3.5,1.42,10.54513471,557.7011587,18.72307003,1380.99,1.324,278.83,64.22,17.49,208.6195634,56.23349174,83.82448372,71.65419485,111.7639115,,,,7.2,31.2,0.13,10.92307692,86.0314857,73.9,259,3171,1752.93,70.5,0.83,17.62,17.74,2.49,1.11,18.23,10.6,34,55.5,1.21,1.1,0.32,0.24,0.08
2023,tomatoes,38.46872,-121.8543,E&H farms,Gnos,Schroeder 4,clay,24,152,6-12 in ,3.3,1.33,19.31498486,191.6344501,17.45782714,344.16,0.95,72.65,0,0,,,,,,23.5,40.5,36,7.3,30.1,0.11,12.09090909,19.18483578,54.6,190.6,2959,1763.93,39.3,0.47,22.24,19.6,2.67,0.93,23.98,,,,1.24,1.3,0.31,0.24,0.07
2023,tomatoes,38.46872,-121.8543,E&H farms,Gnos,Schroeder 4,silty clam loam,24,161,0-6 in ,3.7,1.48,29.97094371,283.3883687,20.2895428,272.28,1.134,81.91,4.57,0,374.0676978,103.4273852,148.5391077,107.2156978,124.7676866,,,,6.9,31.1,0.14,10.57142857,107.2614536,82.4,363.1,3147,1725.75,67.7,0.46,23.28,21.15,2.9,1.58,16.64,6.6,56,37.5,1.26,1.71,0.38,0.21,0.17
2023,tomatoes,38.46872,-121.8543,E&H farms,Gnos,Schroeder 4,silty clam loam,24,162,6-12 in ,3.2,1.44,5.123590943,207.1441133,18.46945288,525.96,1.14,173.83,8.28,0,,,,,,22,31.5,46.5,7,21.6,0.13,11.07692308,53.64270537,113.5,161.9,2882,751.03,25.1,1.72,132.43,11.05,7.04,2.78,117.33,,,,1.24,1.2,0.35,0.21,0.14
2023,tomatoes,38.46872,-121.8543,E&H farms,Gnos,Schroeder 4,clay,24,171,0-6 in ,3.6,1.37,0,227.5134678,21.17957657,756.03,1.224,172.43,20.56,6.59,216.3054126,67.70822738,232.1645788,77.9936951,80.90960312,,,,6.8,30.2,0.12,11.41666667,31.51128104,73.5,215.4,2886,1816.63,64.8,0.39,25.25,29.26,3,1.6,22.88,8.6,34,57.5,1.12,1.04,0.36,0.2,0.16
2023,tomatoes,38.46872,-121.8543,E&H farms,Gnos,Schroeder 4,clay,24,172,6-12 in ,3.5,1.38,15.69548077,218.9607635,16.82963962,836.42,1.444,185.41,49.77,19.88,,,,,,29.8,37.2,33,7.1,31.2,0.12,11.5,20.14327946,52.5,206.8,2865,1946.75,29.6,0.44,19.78,19.58,2.91,1.22,22.82,,,,1.29,1.43,0.36,0.2,0.16
2023,tomatoes,38.79659,-121.8017,Barrios Farms,Barrios,Field 4,clay loam,4,181,0-6 in ,2.5,1.24,31.54752111,233.8416459,16.50006242,1135.27,1.379,202.08,44,12.09,222.2034426,70.4585328,162.7594214,203.2955288,142.4368196,,,,7.2,21.5,0.11,11.27272727,22.87031531,57.1,193.3,2246,1145.03,6.7,1.95,16.59,14.29,1.36,0.97,47.77,29.8,34.4,35.9,1.41,0.49,0.29,0.1,0.19
2023,tomatoes,38.79659,-121.8017,Barrios Farms,Barrios,Field 4,clay loam,4,182,6-12 in ,2.1,1,27.30848311,100.4793409,10.13294975,677.06,1.42,117.52,37.13,6.17,,,,,,60.9,13.5,25.5,7.4,19,0.09,11.11111111,0,35.3,120.7,1987,1017.32,3.2,2.16,16.29,8.98,1.4,0.77,65.09,,,,1.4,0.5,0.29,0.11,0.18
2023,tomatoes,38.79659,-121.8017,Barrios Farms,Barrios,Field 4,sandy clay loam,4,191,0-6 in ,2.4,1.21,30.60838006,267.3202407,15.96266337,1517.05,1.411,310.26,98.64,12.22,209.5451723,63.37841773,155.2100862,246.1307725,130.531091,,,,7.3,19.7,0.11,11,32.69825178,58.7,228.5,2070,1035.64,6.7,1.79,17.61,13.83,1.4,1.01,33.62,61.9,16.2,21.9,1.38,0.58,0.29,0.1,0.19
2023,tomatoes,38.79659,-121.8017,Barrios Farms,Barrios,Field 4,sandy clay loam,4,192,6-12 in ,2.2,1.16,37.14581369,217.8687806,14.28915694,1209.92,1.463,261.07,95.37,18.54,,,,,,38.3,40.9,20.8,7.3,20.6,0.11,10.54545455,9.478023845,48.1,175.5,2163,1102.6,4.6,1.77,17.02,10.9,1.41,0.75,41.91,,,,1.32,0.53,0.28,0.11,0.17
2023,tomatoes,38.79659,-121.8017,Barrios Farms,Barrios,Field 4,clay loam,4,201,0-6 in ,2,0.9,32.01930794,220.1092393,9.34603009,2677.32,1.328,368.3,68.82,10.48,166.9034116,44.75221979,97.71710428,213.3930239,85.87984943,,,,7.5,18.5,0.09,10,9.311408046,49.1,118.4,1968,985.9,7.6,1.75,11.31,12.16,1.15,0.81,43.37,34.3,32.4,33.4,1.23,0.4,0.26,0.09,0.17
2023,tomatoes,38.79659,-121.8017,Barrios Farms,Barrios,Field 4,clay loam,4,202,6-12 in ,2,0.82,26.98997257,174.5498388,12.14828945,863.54,1.442,157.47,46.56,13.24,,,,,,14.8,56.2,29,7.6,18.4,0.08,10.25,7.783779374,31.6,100.4,1936,992.53,4.1,1.75,11.17,12.62,1.18,0.55,46.81,,,,1.46,0.42,0.27,0.09,0.18
2023,tomatoes,39.07756,-121.8855,Parks Farming Organic,Park,Field 002,clay,1,211,0-6 in ,3.7,,54.51535074,422.7605446,,721.56,1.297,229.72,29.38,13.62,405.4869775,172.4215517,502.0754207,311.7715184,208.5449441,,,,6.7,21.2,,,21.74197511,137,201,2974,655.58,47.1,0.33,115.85,11.07,7.46,3.76,84.84,16.7,34,49.4,1.08,,0.37,0.24,0.13
2023,tomatoes,39.07756,-121.8855,Parks Farming Organic,Park,Field 002,clay,1,212,6-12 in ,3.2,1.4,25.12766586,176.0991331,18.34151527,831.6,1.349,274.94,40.6,13.77,,,,,,5,19.5,75.5,7,20.5,0.13,10.76923077,5.211819292,116.7,144.4,2747,713.26,24.3,0.2,120.73,10.49,6.85,2.9,108.64,,,,1.02,2.47,0.34,0.24,0.1
2023,tomatoes,39.07756,-121.8855,Parks Farming Organic,Park,Field 002,clay,1,221,0-6 in ,4,1.44,73.47972503,539.1341646,,1653.62,1.446,511.24,149.96,35.48,240.1281448,67.14619768,124.2500148,270.8653654,177.137532,,,,7,23,0.14,10.28571429,32.89279918,233.5,319.3,3262,646.85,68.6,0.51,49.26,9.41,6.51,4.24,101.76,16.7,34,49.4,1.18,0.93,0.38,0.24,0.14
2023,tomatoes,39.07756,-121.8855,Parks Farming Organic,Park,Field 002,clay,1,222,6-12 in ,3.6,1.59,46.95251723,315.3795387,20.93393969,1982.51,1.379,576.15,108.49,38.81,,,,,,8,8.5,83.5,7.3,23.4,0.16,9.9375,8.042652352,187.6,197.9,3310,691.05,36.8,0.36,49.02,7.66,4.98,2.95,122.51,,,,1.28,1.79,0.38,0.23,0.15
2023,tomatoes,39.07756,-121.8855,Parks Farming Organic,Park,Field 002,clay,1,231,0-6 in ,4.1,1.89,69.53253129,494.3092443,29.0292128,1106.55,1.348,357.3,59.46,29.09,463.3038091,174.8036508,384.6635426,381.3237291,158.9821262,,,,6.9,22.7,0.18,10.5,23.23232754,178.5,255.9,3255,645.65,56.6,0.39,62.7,8.22,5.94,3.46,87.64,16.7,36,47.4,1.22,1.58,0.38,0.26,0.12
2023,tomatoes,39.07756,-121.8855,Parks Farming Organic,Park,Field 002,clay,1,232,6-12 in ,3.6,1.55,40.67697349,333.333743,24.37115752,2600.1,1.394,804.21,386.19,62.29,,,,,,10.5,25,64.5,7.1,23.1,0.15,10.33333333,17.02832277,153.1,172.4,3225,720.37,37.9,0.34,73.9,9.33,5.85,2.79,117.64,,,,1.23,1.85,0.37,0.22,0.15
2023,tomatoes,39.05822,-121.8309,Parks Farming Organic,Park,Field 33,clay loam,18,241,0-6 in ,2.5,1.02,32.07615814,272.9753684,19.38676098,1210.04,1.221,302.69,32.3,0,441.878459,141.0490522,713.350146,373.309962,463.3953699,,,,6.7,11.9,0.1,10.2,10.1825272,113.7,223.6,1617,360.89,38.6,0.34,134.62,6.79,8.42,3.44,57.27,44,28.2,27.9,1.33,0.96,0.27,0.08,0.19
2023,tomatoes,39.05822,-121.8309,Parks Farming Organic,Park,Field 33,clay loam,18,242,6-12 in ,2.2,0.85,50.87505754,246.6674556,20.98320404,926.73,1.391,250.96,45.76,18.26,,,,,,10.5,57,32.5,6.7,12.3,0.1,8.5,9.63313438,101.9,179.9,1683,372.92,43,0.32,159.7,6.77,8.23,2.98,67.86,,,,1.32,0.39,0.28,0.08,0.2
2023,tomatoes,39.05822,-121.8309,Parks Farming Organic,Park,Field 33,clay loam,18,251,0-6 in ,2.6,1.24,30.31178537,246.7198377,25.15491663,1489.49,1.382,400.1,83.06,21.29,236.8335023,62.47852165,126.1789294,371.7628636,94.80007892,,,,6.8,15.4,0.12,10.33333333,5.197628136,113,217.5,2034,514.49,37.3,0.52,127.52,6.39,7.06,2.58,80.98,32.1,36.1,31.9,1.44,0.84,0.31,0.1,0.21
2023,tomatoes,39.05822,-121.8309,Parks Farming Organic,Park,Field 33,clay loam,18,252,6-12 in ,2.4,1.06,21.0923262,149.3100254,16.94565563,885.37,1.298,230.29,28.14,11.49,,,,,,4.5,14.5,81,7,15.3,0.11,9.636363636,2.458149612,109.4,159.4,2032,522.67,24.9,0.31,143.01,6.13,6.6,2.05,80.4,,,,1.43,0.44,0.31,0.1,0.21
2023,tomatoes,39.05822,-121.8309,Parks Farming Organic,Park,Field 33,clay loam,18,261,0-6 in ,2.9,1.3,32.60296474,270.8854684,24.47524304,1787.06,1.407,452.11,116.02,28.27,412.0854813,125.0133915,729.1048774,333.7594148,459.4663806,,,,6.6,15.8,0.13,10,4.029396632,104,208.5,1973,475.83,57.7,0.33,141.08,7.15,8.42,3.48,79.18,29.8,40.3,29.9,1.39,0.73,0.31,0.11,0.2
